Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
miR-21,RNA,RT-qPCR analysis,Plasma,Diagnostic,Detection of microRNA in hepatic cirrhosis and HCC.,Hepatocellular carcinoma (HCC).,"Relative-quantitative levels in healthy, CHC, and HCC groups.","Demerdash HM, Hussien HM, et al. Detection of MicroRNA in Hepatic Cirrhosis and Hepatocellular Carcinoma in Hepatitis C Genotype-4. BioMed Res Int. 2017.",2017,Egypt,Alexandria.
miR-122,RNA,RT-qPCR analysis,Plasma,Diagnostic,Detection of microRNA in hepatic cirrhosis and HCC.,Hepatocellular carcinoma (HCC).,"Relative-quantitative levels in healthy, CHC, and HCC groups.","Demerdash HM, Hussien HM, et al. Detection of MicroRNA in Hepatic Cirrhosis and Hepatocellular Carcinoma in Hepatitis C Genotype-4. BioMed Res Int. 2017.",2017,Egypt,Alexandria.
HPV E6/E7 proteins,Protein,Western blotting,Exfoliated cells,Diagnostic,Potential markers for screening and diagnosis.,Cervical cancer.,Identification of high-grade squamous intraepithelial lesions (HSILs).,"Shi WJ, et al. E6-E7 proteins are potential markers for the screening and diagnosis of cervical pre-cancerous lesions and cervical cancer. Oncol Lett. 2017.",2017,China,South China; Shanghai.
Excision repair cross complementation group1 (ERCC1),Protein,Immunohistochemical staining,FFPE tissue sections,Predictive,Predicts objective response and survival in platinum-treated patients.,Metastatic triple negative breast cancer (TNBC).,Progression free survival (PFS) and overall survival (OS).,"EL Baiomy MA, El Kashef WF. ERCC1 Expression in Metastatic Triple Negative Breast Cancer Patients Treated with Platinum-Based Chemotherapy. Asian Pac J Cancer Prev. 2017.",2017,Egypt,Mansoura.
VEGF [165 isoform],Protein,Human Quantikine ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
sFLT-1,Protein,Human Quantikine ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
Ang-2,Protein,Human Quantikine ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
vWF,Protein,Human Quantikine ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
TM,Protein,Human Quantikine ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
tPA,Protein,Hand ELISA,Plasma,Prognostic,Predictor of mortality in septic shock.,Septic Shock.,Mortality prediction accuracy (AUC) compared to lactate.,"Hou PC, Filbin MR, et al. Endothelial Permeability and Hemostasis in Septic Shock - Results From the ProCESS Trial. Chest. 2017.",2017,USA,"Boston, MA; Birmingham, AL; Pittsburgh, PA."
Apparent diffusion coefficient (ADC),Other (Imaging parameter),Diffusion-weighted imaging (DWI),In situ uterine scan,Diagnostic,Differentiating early-stage endometrial malignancy from benign lesions.,Endometrial carcinoma.,"Sensitivity, specificity, and accuracy for histological types in cavity.","Wang X, Zhao Y, et al. Evaluation and validation of the diagnostic value of the apparent diffusion coefficient for differentiating early-stage. Oncotarget. 2017.",2017,-,-
Bone progression index (BPI),Other (Quantitative imaging indices),Ga-68-PSMA PET/CT scans,In situ whole-body scan,Prognostic and Predictive,Assessment of osseous tumor burden and response assessment.,Metastatic castration-resistant prostate cancer (mCRPC).,Quantitative response assessment compared with PSA and PERCIST.,Bieth et al. Exploring New Multimodal Quantitative Imaging Indices for the Assessment of Osseous Tumor Burden. J Nucl Med. 2017.,2017,Germany,Munich.
p16INK4A protein,Protein,Immunohistochemical (IHC) study,Cervical biopsy specimens,Prognostic and Predictive,Evaluation of premalignant and malignant alteration of epithelium.,Cervical Cancer.,Degree of histological cervical dysplasia or invasive carcinoma.,"Kishore V, Patil AG. Expression of p16INK4A Protein in Cervical Intraepithelial Neoplasia and Invasive Carcinoma of Uterine Cervix. J Clin Diagn Res. 2017.",2017,India,"Kalaburagi, Karnataka."
"Multitarget UroVysion kit (CEP 3, 7, 17 and LSI 9p21)",DNA,Fluorescence in situ hybridization (FISH),Bladder washout (BWO),Predictive,Predictor of tumor recurrence during Bacillus Calmette–Guérin therapy.,Non-muscle-invasive bladder cancer (NMIBC).,Tumor recurrence during induction therapy follow-up.,"Liem E, Baard J, et al. Fluorescence in situ hybridization as prognostic predictor of tumor recurrence. Med Oncol. 2017.",2017,Netherlands,Amsterdam.
HIF-1?,Protein,Immunohistochemistry (dilution 1:8000),Primary tumor samples,Predictive,Biomarker for response to sunitinib.,Metastatic clear-cell renal cell carcinoma (ccRCC).,Progression-free survival (PFS) and overall survival (OS).,"Maroto P, Esteban E, et al. hiF pathway and c-Myc as biomarkers for response to sunitinib in metastatic clear-cell renal cell carcinoma. OncoTargets Ther. 2017.",2017,Spain,"Barcelona; Asturias, etc.."
HIF-2?,Protein,Immunohistochemistry (dilution 1:500),Primary tumor samples,Predictive,Biomarker for response to sunitinib.,Metastatic clear-cell renal cell carcinoma (ccRCC).,Progression-free survival (PFS) and overall survival (OS).,"Maroto P, Esteban E, et al. hiF pathway and c-Myc as biomarkers for response to sunitinib in metastatic clear-cell renal cell carcinoma. OncoTargets Ther. 2017.",2017,Spain,"Barcelona; Asturias, etc.."
c-Myc,Protein,Immunohistochemistry (dilution 1:300),Primary tumor samples,Predictive,Biomarker for response to sunitinib.,Metastatic clear-cell renal cell carcinoma (ccRCC).,Progression-free survival (PFS) and overall survival (OS).,"Maroto P, Esteban E, et al. hiF pathway and c-Myc as biomarkers for response to sunitinib in metastatic clear-cell renal cell carcinoma. OncoTargets Ther. 2017.",2017,Spain,"Barcelona; Asturias, etc.."
miR-299-5p,RNA,Quantitative real-time PCR,Resected tumor tissue,Diagnostic,Importance and identification in colorectal adenocarcinoma.,Colorectal cancer (CRC).,Expression level comparison relative to matched non-tumor counterparts.,"Fateh Alavieh, et al. Importance of miR-299-5p in colorectal cancer. Ann Gastroenterol. 2017.",2017,Iran,"Tabriz, East Azerbaijan."
D-dimer,Other (Coagulation protein fragment),Pretreatment laboratory tests,Blood,Predictive,Risk stratification for venous thromboembolism (VTE) development.,Advanced gastric cancer (AGC).,Cumulative incidence of VTE during palliative chemotherapy.,"Park K, Ryoo BY, et al. Incidence of venous thromboembolism and the role of D-dimer as predictive marker. World J Gastrointest Oncol. 2017.",2017,South Korea,Seoul.
Intracellular signaling entropy,Other (Transcriptome network measure),Microarray and Protein Interaction Network (PIN) analysis,Cervical swab and tissue specimens,Predictive,Predicting the development of cervical intraepithelial neoplasia.,Cervical intraepithelial neoplasia (CIN).,Risk evaluation of lesion progression to dysplasia or carcinoma in situ.,"Sato M, Kawana K, et al. Intracellular signaling entropy can be a biomarker for predicting the development of cervical intraepithelial neoplasia. PLoS ONE. 2017.",2017,Japan,Tokyo.
Somatostatin (SST) gene methylation,DNA,Quantitative methylation-specific PCR,Pre-operative sera,Prognostic,Independent prognostic marker auxiliary to tumor staging.,Colorectal cancer (CRC).,Cancer-specific death and tumor recurrence.,"Liu Y, Chew MH, et al. Methylation of serum SST gene is an independent prognostic marker in colorectal cancer. Am J Cancer Res. 2016.",2016,Singapore,-
Cumulative methylation index (CMI),DNA,cMethDNA quantitative multiplex assay (10-gene panel),Serum,Prognostic and Predictive,Independent marker of response and survival tracking disease status.,Metastatic breast cancer (MBC).,Progression-free survival (PFS) and overall survival (OS) at restaging.,"Visvanathan K, Fackler MS, et al. Monitoring of Serum DNA Methylation as an Early Independent Marker of Response and Survival in MBC. J Clin Oncol. 2017.",2017,USA,"Baltimore, MD; etc.."
Neutrophil gelatinase-associated lipocalin (NGAL),Protein,Pretreatment serum concentration analysis,Serum,Diagnostic,Screening test aiding in biopsy decision and early diagnosis.,Prostate cancer (PCa).,Discrimination between benign prostatic hyperplasia and PCa.,"Mu?lu N, Ercan B, et al. Neutrophil gelatinase-associated lipocalin as a screening test in prostate cancer. Turk J Urol. 2017.",2017,Turkey,Mersin; Diyarbak?r.
"Diet-related metabolites (e.g., alcohol, tocopherols)",Other (Metabolites),Liquid chromatography–tandem mass spectrometry,Prediagnostic serum,Predictive,Nutritional metabolomics identifying diet-related exposures modulating risk.,Breast cancer.,Invasive breast cancer risk (ORs) stratified by ER status.,"Playdon MC, Ziegler RG, et al. Nutritional metabolomics and breast cancer risk in a prospective study. Am J Clin Nutr. 2017.",2017,USA,-
Tropomodulin1 (TMOD1),Protein and RNA,sq-IHC and qRT-PCR,Primary tumor specimens,Diagnostic and Prognostic,Associated with enhanced regional lymph node metastasis (RLNM).,Oral squamous cell carcinoma (OSCC).,Regional lymph node metastasis (RLNM) and 5-year survival.,"Suzuki T, Kasamatsu A, et al. Overexpression of TMOD1 is associated with enhanced regional lymph node metastasis in human oral cancer. Int J Oncol. 2016.",2016,Japan,Chiba.
Neutrophil CD64 expression,Protein,Perioperative blood analysis,Blood,Diagnostic,Indicator for intra-abdominal infection after surgery.,Intra-abdominal infection after colorectal surgery.,Postoperative complication monitoring.,"Povsic MK, et al. Perioperative Increase in Neutrophil CD64 Expression is an Indicator for Intra-abdominal Infection after Colorectal Cancer Surgery. Radiol Oncol. 2017.",2017,-,-
Androgen receptor (AR) amplification,DNA,Fluorescence in situ hybridization (FISH),Circulating tumor cells (CTCs) and biopsies,Predictive and Diagnostic,Classification into molecular subgroups for rational therapy selection.,Metastatic castration-resistant prostate cancer (mCRPC).,Concordance between metastatic biopsies and CTCs.,"Massard C, Oulhen M, et al. Phenotypic and genetic heterogeneity of tumor tissue and CTCs in patients with mCRPC. Oncotarget. 2016.",2016,France,Villejuif; Paris.
TMPRSS2-ERG translocation,DNA,FISH and ERG immunohistochemistry (IHC),CTCs and tumor tissue,Predictive and Diagnostic,Classification into molecular subgroups for rational therapy selection.,Metastatic castration-resistant prostate cancer (mCRPC).,Concordance between metastatic biopsies and CTCs.,"Massard C, Oulhen M, et al. Phenotypic and genetic heterogeneity of tumor tissue and CTCs in patients with mCRPC. Oncotarget. 2016.",2016,France,Villejuif; Paris.
Pre-treatment alpha-fetoprotein (pt-AFP),Protein,Pre-treatment serum assessment,Serum,Diagnostic and Prognostic,Significance and diagnostic value in non-viral HCC.,Hepatocellular carcinoma (HCC) with non-viral aetiology.,Diagnostic value and benefit from curative therapies in nvHCC.,"Siriwardana RC, et al. Pre-treatment alphafeto protein in hepatocellular carcinoma with non-viral aetiology. BMC Gastroenterol. 2017.",2017,Sri Lanka,Kelaniya.
Lactate Dehydrogenase (LDH),Protein,DGKC method (Hitachi 912 Autoanalyser),Serum,Prognostic,correlates with TNM staging and predicts poor surgical outcome or advanced metastases.,Carcinoma Breast.,6-month follow-up for adverse events following surgery.,"Agrawal A, Gandhe M, et al. Preliminary Study on Serum Lactate Dehydrogenase (LDH)-Prognostic Biomarker in Carcinoma Breast. J Clin Diagn Res. 2016.",2016,India,"Sevagram, Maharashtra."
Gamma-Glutamyltransferase (GGT),Protein,Preoperative serum assessment,Serum,Prognostic,Association with cancer-specific (CSS) and recurrence-free survival (RFS).,Nonmetastatic Renal Cell Carcinoma (inferred),Cancer-specific survival (CSS) and recurrence-free survival (RFS).,"Luo C, Xu B, et al. Preoperative Gamma-Glutamyltransferase Is Associated with CSS and RFS. BioMed Res Int. 2017.",2017,-,-
Pretreatment Insulin levels,Protein,Chemiluminescent enzyme immunoassay,Fasting serum,Prognostic,negative prognostic marker independently associated with disease stage.,Breast cancer.,Progression-free survival (PFS).,"Ferroni P, Riondino S, et al. Pretreatment Insulin Levels as a Prognostic Factor for Breast Cancer Progression. Oncologist. 2016.",2016,Italy,Rome.
HOMA index (Insulin resistance),Other (Glycemic index),Formula: glucose (mg/dL) x insulin (mIU/mL) / 405,Fasting serum,Prognostic,Marker of insulin resistance associated with BC progression.,Breast cancer.,Progression-free survival (PFS).,"Ferroni P, Riondino S, et al. Pretreatment Insulin Levels as a Prognostic Factor for Breast Cancer Progression. Oncologist. 2016.",2016,Italy,Rome.
"VEGF family mRNA (VEGF, -C, -D, VEGFR-1, -2, -3)",RNA,Quantitative RT-PCR,Surgical specimen tissue,Diagnostic and Prognostic,Characterization of primary and metastatic tumors.,Ovarian cancer.,Response to treatment and BMI correlation.,"Lindgren A, Anttila M, et al. Primary and metastatic ovarian cancer - Characterization by 3.0T diffusion-weighted MRI. Eur Radiol. 2017.",2017,Finland,Kuopio.
VEGF,Protein,ELISA (Quantikine),Serum and plasma,Prognostic,"Impact on histological response, progression-free and overall survival.",Osteosarcoma.,"Histological response, progression-free (PFS) and overall survival (OS).","Tabone MD, Brugières L, et al. Prognostic impact of blood and urinary angiogenic factor levels at diagnosis and during treatment. BMC Cancer. 2017.",2017,France,Paris; Villejuif.
Basic fibroblast growth factor (bFGF),Protein,ELISA (Quantikine),"Serum, plasma, and urine",Prognostic,Evaluation at osteosarcoma diagnosis and through treatment.,Osteosarcoma.,"Histological response, progression-free (PFS) and overall survival (OS).","Tabone MD, Brugières L, et al. Prognostic impact of blood and urinary angiogenic factor levels at diagnosis and during treatment. BMC Cancer. 2017.",2017,France,Paris; Villejuif.
Vitamin D binding protein (VDBP),Protein,Human VDBP immunoassay kit,Plasma,Prognostic,Speculated association with survival based on macrophage activation.,Colorectal cancer (CRC).,5-year overall survival (OS).,"Yang L, Chen H, et al. Prognostic value of circulating vitamin D binding protein, total, free and bioavailable 25(OH)D in patients with CRC. Oncotarget. 2017.",2017,China,-
"25-hydroxy vitamin D (25(OH)D) [Total, Free, Bioavailable]",Other (Vitamin),Direct competitive ELISA,Plasma,Prognostic,Indicator of vitamin D levels associated with survival in CRC.,Colorectal cancer (CRC).,5-year overall survival (OS).,"Yang L, Chen H, et al. Prognostic value of circulating vitamin D binding protein, total, free and bioavailable 25(OH)D in patients with CRC. Oncotarget. 2017.",2017,China,-
High-sensitivity Troponin I (hsTnI),Protein,Singulex Single Molecule Counting assay,Plasma,Predictive and Diagnostic,Monitoring myocardial injury during sunitinib therapy.,Metastatic renal cell carcinoma (mRCC).,Left ventricular ejection fraction (LVEF) decline/cardiotoxicity.,Narayan et al. Prospective Evaluation of Sunitinib-Induced Cardiotoxicity in Patients with mRCC. Clin Cancer Res. 2017.,2017,USA,"Philadelphia, PA; etc.."
B-type natriuretic peptide (BNP),Protein,Singulex Single Molecule Counting assay,Plasma,Predictive and Diagnostic,Monitoring myocardial stress during sunitinib therapy.,Metastatic renal cell carcinoma (mRCC).,Left ventricular ejection fraction (LVEF) decline/cardiotoxicity.,Narayan et al. Prospective Evaluation of Sunitinib-Induced Cardiotoxicity in Patients with mRCC. Clin Cancer Res. 2017.,2017,USA,"Philadelphia, PA; etc.."
Prostaglandin E2 metabolite (PGE-M),Other (Metabolite),LC/MS-MS (Liquid chromatography/tandem mass spectrometry),Spot urine,Predictive,Assessment of COX-2 pathway activity and incident risk.,Pancreatic cancer.,Incident primary pancreatic cancer risk (5.8 years median).,"Cui Y, Shu XO, et al. Prospective study of urinary prostaglandin E2 metabolite and pancreatic cancer risk. Int J Cancer. 2017.",2017,China,Shanghai.
?H2AX foci,Protein,Immunofluorescence microscopy,Peripheral blood lymphocytes,Predictive and Prognostic,Induction and persistence monitoring during brachytherapy.,Prostate cancer.,Patient reported QoL measures (EPIC questionnaire).,"Osman SOS, Horn S, et al. Prostate cancer treated with brachytherapy; an exploratory study of dose-dependent biomarkers and QoL. Radiat Oncol. 2017.",2017,UK,Belfast.
53BP1 foci,Protein,Immunofluorescence microscopy,Peripheral blood lymphocytes,Predictive and Prognostic,Quantification of double-strand break (DSB) repair kinetics.,Prostate cancer.,Patient reported QoL measures (EPIC questionnaire).,"Osman SOS, Horn S, et al. Prostate cancer treated with brachytherapy; an exploratory study of dose-dependent biomarkers and QoL. Radiat Oncol. 2017.",2017,UK,Belfast.
CXCR4,Protein and RNA,IHC and rt.-PCR,Resected pancreatic tumor tissue,Predictive,predicting clinical course and pattern of tumor recurrence.,Pancreatic ductal adenocarcinoma (PDAC).,Pattern of tumor recurrence (metastatic spread vs local).,"Popp FC, Popp MC, et al. Protocol of the PANCALYZE trial: investigative study of tumor biomarkers CXCR4, SMAD4, SOX9 and IFIT3. BMC Cancer. 2017.",2017,Germany,-
SMAD4,Protein and RNA,IHC and rt.-PCR,Resected pancreatic tumor tissue,Predictive,predicting clinical course and pattern of tumor recurrence.,Pancreatic ductal adenocarcinoma (PDAC).,Pattern of tumor recurrence (metastatic spread vs local).,"Popp FC, Popp MC, et al. Protocol of the PANCALYZE trial: investigative study of tumor biomarkers CXCR4, SMAD4, SOX9 and IFIT3. BMC Cancer. 2017.",2017,Germany,-
SOX9,Protein and RNA,IHC and rt.-PCR,Resected pancreatic tumor tissue,Predictive,predicting clinical course and pattern of tumor recurrence.,Pancreatic ductal adenocarcinoma (PDAC).,Pattern of tumor recurrence (metastatic spread vs local).,"Popp FC, Popp MC, et al. Protocol of the PANCALYZE trial: investigative study of tumor biomarkers CXCR4, SMAD4, SOX9 and IFIT3. BMC Cancer. 2017.",2017,Germany,-
IFIT3,Protein and RNA,IHC and rt.-PCR,Resected pancreatic tumor tissue,Predictive,predicting clinical course and pattern of tumor recurrence.,Pancreatic ductal adenocarcinoma (PDAC).,Pattern of tumor recurrence (metastatic spread vs local).,"Popp FC, Popp MC, et al. Protocol of the PANCALYZE trial: investigative study of tumor biomarkers CXCR4, SMAD4, SOX9 and IFIT3. BMC Cancer. 2017.",2017,Germany,-
Mean transit time (MTT),Other (Imaging parameter),Dynamic contrast-enhanced ultrasonography (DCE-US),In situ tumor scan,Predictive,selection of an early biomarker for vascular normalization.,"Metastatic breast, melanoma, colon, renal cancers, GIST, HCC.",Freedom from progression (FFP).,Selection of an early biomarker for vascular normalization using DCE-US. Ann Oncol. 2016.,2016,France,-
"PIK3CA, KRAS, BRAF, and PTEN mutational status",DNA,Serial evaluation including 18FDG-PET,Plasma and Whole-body scan,Predictive,Early pharmacodynamic assessment for response to copanlisib.,Advanced solid tumors and non-Hodgkin’s lymphomas.,"Maximum tolerated dose (MTD) and objective response (CR, PR).","Patnaik A, Appleman LJ, et al. First-in-human phase I study of copanlisib in patients with advanced solid tumors and NHL. Ann Oncol. 2016.",2016,USA and Germany,"San Antonio, TX; Pittsburgh, PA; Berlin (DE)."
COMT rs4680 SNP,DNA,Taqman SNP Genotyping Assay,Blood,Predictive,Selection of opioids for cancer-related pain relief.,Cancer-related pain.,Proportion of subjects requiring high-dose opioids.,"Matsuoka H, Tsurutani J, et al. Selection of opioids for cancer-related pain using a biomarker. BMC Cancer. 2017.",2017,Japan,"Osakasayama City, Osaka."
Serum Endotoxins (LPS),Other (Bacterial component),ELISA (Colorimetric peroxidase substrate TMZ),Serum,Predictive,Assessment of colorectal cancer risk related to gut microflora.,Colorectal Cancer (CRC).,Incident CRC cases (colon and rectal).,"Kong SY, et al. Serum Endotoxins and Flagellin and Risk of CRC in the European Prospective Investigation into Cancer and Nutrition. CEBP. 2017.",2017,Europe (Multiple),-
Flagellin,Protein,ELISA (Colorimetric peroxidase substrate TMZ),Serum,Predictive,Assessment of colorectal cancer risk related to gut microflora.,Colorectal Cancer (CRC).,Incident CRC cases (colon and rectal).,"Kong SY, et al. Serum Endotoxins and Flagellin and Risk of CRC in the European Prospective Investigation into Cancer and Nutrition. CEBP. 2017.",2017,Europe (Multiple),-
Soluble CD14 (sCD14),Protein,"Morning serum analyses (day 0, 1, 2)",Serum,Diagnostic and Prognostic,Diagnostic and prognostic biomarker for infection identification.,Hematological Patients with Febrile Neutropenia.,Clinically relevant cause of infection and significant blood culture.,"Korpelainen S, Intke C, et al. Soluble CD14 as a Diagnostic and Prognostic Biomarker in FN. Dis Markers. 2017.",2017,-,-
TMEM45A transcript levels,RNA,Microarray and Quantitative RT-PCR,Cervical swab samples,Predictive,Predictive for development of high-grade cervical lesions.,High-grade cervical lesions (CIN3+).,Progression to CIN3+ during follow-up of persistent HPV16.,"Manawapat-Klopfer A, Thomsen LT, et al. TMEM45A, SERPINB5 and p16INK4A mRNA levels predict CIN3+. Am J Cancer Res. 2016.",2016,Denmark,Copenhagen.
SERPINB5 transcript levels,RNA,Microarray and Quantitative RT-PCR,Cervical swab samples,Predictive,Predictive for development of high-grade cervical lesions.,High-grade cervical lesions (CIN3+).,Progression to CIN3+ during follow-up of persistent HPV16.,"Manawapat-Klopfer A, Thomsen LT, et al. TMEM45A, SERPINB5 and p16INK4A mRNA levels predict CIN3+. Am J Cancer Res. 2016.",2016,Denmark,Copenhagen.
p16INK4A transcript levels,RNA,Microarray and Quantitative RT-PCR,Cervical swab samples,Predictive,Predictive for development of high-grade cervical lesions.,High-grade cervical lesions (CIN3+).,Progression to CIN3+ during follow-up of persistent HPV16.,"Manawapat-Klopfer A, Thomsen LT, et al. TMEM45A, SERPINB5 and p16INK4A mRNA levels predict CIN3+. Am J Cancer Res. 2016.",2016,Denmark,Copenhagen.
Carbohydrate antigen 19-9 (CA19-9),Protein,Enzyme-linked immunosorbent assay (ELISA),Serum,Diagnostic,Assesses diagnostic value in IEC; significantly higher in IEC.,Intracranial epidermoid cyst (IEC).,Differentiation of IEC from matched healthy controls.,"Wang Y, Yan W, et al. The implication of tumor biomarker CA19-9 in the diagnosis of intracranial epidermoid cyst. Oncotarget. 2017.",2017,-,-
Matrix metalloproteinase-3 (MMP-3),Protein,Enzyme-linked immunosorbent assay (ELISA),Serum,Diagnostic and Prognostic,prediction of prognosis and monitoring of advanced disease.,Oral squamous cell carcinoma (OSCC).,Survival rate and 12-month cumulative survival.,"Schiegnitz E, Kämmerer PW, et al. The MMP and IGF system in oral cancer - a prospective clinical study. OncoTargets Ther. 2017.",2017,Germany,Mainz.
Insulin-like growth factor-1 (IGF-1),Protein,Enzyme-linked immunosorbent assay (ELISA),Serum,Diagnostic and Prognostic,new marker of prognosis of OSCC.,Oral squamous cell carcinoma (OSCC).,Survival rate and 12-month cumulative survival.,"Schiegnitz E, Kämmerer PW, et al. The MMP and IGF system in oral cancer - a prospective clinical study. OncoTargets Ther. 2017.",2017,Germany,Mainz.
IGF-binding protein-3 (IGFBP-3),Protein,Enzyme-linked immunosorbent assay (ELISA),Serum,Diagnostic and Prognostic,new marker of prognosis of OSCC.,Oral squamous cell carcinoma (OSCC).,Survival rate and 12-month cumulative survival.,"Schiegnitz E, Kämmerer PW, et al. The MMP and IGF system in oral cancer - a prospective clinical study. OncoTargets Ther. 2017.",2017,Germany,Mainz.
?SMA expression,Protein,Immunohistochemistry,Archived FFPE tissue specimens,Prognostic,Prognostic role of stroma; categorised as low/high ?SMA.,Pancreatic ductal adenocarcinoma (PDAC).,Progression-free survival (PFS) and overall survival (OS).,"Wang LM, Silva MA, et al. The prognostic role of desmoplastic stroma in pancreatic ductal adenocarcinoma. Oncotarget. 2016.",2016,UK,Oxford.
Stromal Density,Other (Desmoplastic stroma),H & E staining,Archived FFPE tissue specimens,Prognostic,"classification as loose, moderate or strong prognostic density.",Pancreatic ductal adenocarcinoma (PDAC).,Progression-free survival (PFS) and overall survival (OS).,"Wang LM, Silva MA, et al. The prognostic role of desmoplastic stroma in pancreatic ductal adenocarcinoma. Oncotarget. 2016.",2016,UK,Oxford.
Tumor mutation load (TML),DNA,Whole exome sequencing (WES),Circulating cell-free DNA (cfDNA),Predictive and Prognostic,Biomarker of patient response to immunotherapy agents.,"Advanced cancer patients (e.g., Lung, HNSCC, etc.).",Correlation with tumor biopsy derived TML.,"Koeppel F, Blanchard S, et al. Whole exome sequencing for determination of tumor mutation load in liquid biopsy. PLoS ONE. 2017.",2017,France,Villejuif; Paris.
Prostaglandin E2 (PGE2),Other (Metabolite),Pre-surgery urine assessment,Urine,Predictive,positive correlation with intratumoral Treg counts.,Non-small cell lung cancer (NSCLC).,Intratumoral Foxp3+ regulatory T cell infiltration.,"Shimizu K, Okita R, et al. Urinary levels of PGE2 are positively correlated with intratumoral Treg counts. Oncol Lett. 2017.",2017,Japan,"Kurashiki, Okayama."
Signal fat fraction (sFF),Other (Imaging parameter),Whole-body magnetic resonance imaging (WB-MRI),In situ whole-body skeletal scan,Predictive,early changes assessing treatment response soon after chemotherapy starting.,Multiple myeloma (MM).,"Response at end of induction therapy (e.g., M-protein).","Latifoltojar A, et al. WB-MRI in newly diagnosed MM - early changes in lesional signal fat fraction. Br J Haematol. 2017.",2017,UK,London.
SNHG1 and RMRP,RNA (lncRNA),Droplet digital polymerase chain reaction (ddPCR),Plasma,Diagnostic,Potential blood-based assay for early stage diagnosis,Lung Cancer (NSCLC),84.13% sensitivity and 87.88% specificity for diagnosis independent of stage and histological type,"Lin Yanli, et al. Translational Oncology 11 (2018) 1225–1231",2018,China and USA,Beijing; Maryland
"OEF, MRO2, mitoPO2, VSI, MVD, MTI",Other (Imaging),Multiparametric [18F]FDG PET-MRI with qBOLD and VAM,Breast tissue (In situ scan),Diagnostic,Aids breast cancer diagnosis by measuring tissue hypoxia and neovascularization,Breast Cancer,Presence of malignancy; spatial heterogeneity broad range of values,"Leithner Doris, et al. European Journal of Nuclear Medicine and Molecular Imaging (2019)",2019,Austria,Vienna
GFRA1 and ZNF382,DNA (Methylation),MethyLight assays,Gastric carcinoma tissues and surgical margins,Prognostic,Predicts metastasis and recurrence of pN0M0 gastric carcinoma,Gastric Carcinoma,Risk score for metastasis (OR 4.71) and shorter overall survival,"Liu Zhaojun, et al. British Journal of Cancer (2019) 121:529–536",2019,China,Beijing
"Very long chain SFA (20:0, 22:0, 23:0)",Other (Fatty Acids),Gas-liquid chromatography,Red blood cell (RBC) specimens,Predictive,Risk characterization for lymphoma subtypes,Non-Hodgkin Lymphoma (NHL),Inversely associated with B-NHLs other than CLL/SLL,"Chiu Yu-Han, et al. International Journal of Cancer (2018) 143(8): 1914–1922",2018,USA,"Boston, MA"
sRAGE,Protein,ELISA (inferred),Serum,Predictive,Association with risk of incident cancer,Pancreatic Cancer,Unit increase in score B associated with increased risk in lean women (aOR 1.82),"White Donna L, et al. Cancer Medicine (2018) 7(5): 2182-2191",2018,USA,"Houston, TX"
Bone Scan Index (BSI),Other (Imaging),Planar whole-body bone scans with computer-assisted diagnosis,Bone (In situ scan),Prognostic,Measuring tumor burden in bone,Prostate Cancer,Accuracy and precision of measurement over time,"Reza Mariana, et al. BMC Medical Imaging (2018)",2018,Sweden,Uppsala
